place_id,category,estimated_duration,lat,lon,place_name,zone_id
768,gift,0.5,40.706392,-74.013053,NY Gifts,0
771,restaurant,1,40.706563,-74.012923,TGI Fridays,0
772,art,0.8,40.703098,-74.016391,The Immigrants,0
773,restaurant,1,40.72387,-74.004215,Black Tap,0
774,art,0.8,40.707534,-74.008937,Group of Four Trees,0
775,art,0.8,40.707546,-74.009269,Sunken Garden,0
777,attraction,1.5,40.717739,-74.002303,Cortlandt Alley,0
784,restaurant,1,40.707075,-74.002462,Fresh Salt,0
785,restaurant,1,40.70823,-74.001698,ACQUA,0
786,restaurant,1,40.705348,-74.001055,The Fulton,0
787,restaurant,1,40.71397,-73.996899,Hakka Cuisine,0
788,restaurant,1,40.714972,-73.997093,Great NY Noodletown,0
794,cafe,1,40.718056,-73.997117,12 Corners,0
795,spa,0.5,40.715392,-73.998516,Zu Yuan Spa,0
797,restaurant,1,40.718676,-74.001208,August Gatherings,0
798,restaurant,1,40.722781,-74.004875,David Burke Kitchen,0
803,gift,0.5,40.718276,-73.999969,Chinatown Centre Gift shop,0
805,fast_food,1,40.718776,-74.002196,Chipotle,0
806,cafe,1,40.718901,-74.002517,Starbucks,0
819,restaurant,1,40.719924,-74.00999,Locande Verde,0
820,restaurant,1,40.720452,-74.008743,Locande,0
822,fast_food,1,40.715906,-74.005087,Pret A Manger,0
823,cafe,1,40.721266,-74.000513,Think Coffee,0
824,art,0.8,40.706817,-74.0108,Fearless Girl,0
830,ice_cream,0.5,40.715416,-73.998158,Chinatown Ice Cream Factory,0
831,restaurant,1,40.714282,-73.997947,Taiwan Pork Chop House,0
832,cafe,1,40.714694,-73.998681,Silk Road Cafe,0
833,art,0.8,40.718087,-74.015559,The Real World,0
837,gallery,1.5,40.717581,-74.003225,Shrine,0
838,fast_food,1,40.71781,-74.005449,Two Hands,0
840,attraction,1.5,40.718499,-74.004834,Dream house,0
845,fast_food,1,40.706049,-74.007294,Dig,0
846,fast_food,1,40.706162,-74.007168,Chopt,0
851,fast_food,1,40.70736,-74.005167,Plaza Deli,0
855,cafe,1,40.704646,-74.008432,Bluestone Lane,0
857,restaurant,1,40.707586,-74.001806,Nelson Blue,0
858,restaurant,1,40.70745,-74.002078,Barbalu,0
859,cafe,1,40.707359,-74.002227,Cafe Patoro,0
861,fast_food,1,40.708195,-74.004803,Playa Bowls,0
863,fast_food,1,40.70561,-74.008261,Sweetgreen,0
864,cafe,1,40.705673,-74.008374,La Colombe Coffee Roasters,0
867,restaurant,1,40.718897,-74.006329,Distilled,0
868,cafe,1,40.718884,-74.010105,Chanson le Salon,0
869,restaurant,1,40.719227,-74.006557,Terra,0
870,restaurant,1,40.711264,-74.006664,Le Gratin,0
874,fast_food,1,40.708129,-74.00476,Little Italy Pizzeria,0
875,restaurant,1,40.707342,-74.00272,Osteria del Porto,0
876,restaurant,1,40.707782,-74.001844,SUteiShi,0
878,restaurant,1,40.708078,-74.002077,The Hideaway Seaport,0
879,restaurant,1,40.707383,-74.002626,Il Brigante,0
880,cafe,1,40.707594,-74.002181,Made Fresh Daily,0
881,cafe,1,40.706159,-74.008845,Starbucks,0
883,cafe,1,40.708071,-74.013744,Siena Bakehouse,0
888,restaurant,1,40.711924,-73.999367,Famous Calabria Pizza,0
890,fast_food,1,40.703228,-74.011068,Subway,0
894,restaurant,1,40.709068,-74.00574,Matryoshka,0
895,cafe,1,40.70378,-74.010929,Le Pain Quotidien,0
896,fast_food,1,40.718918,-74.006231,Maman NYC,0
897,books,0.5,40.708752,-74.005271,Midtown Comics Downtown,0
898,cafe,1,40.703616,-74.010377,Ground Central,0
900,fast_food,1,40.70423,-74.011719,The Juice Shop,0
901,cafe,1,40.704199,-74.01172,Gregorys Coffee,0
904,restaurant,1,40.704891,-74.006625,Westville,0
906,cafe,1,40.70692,-74.006767,Juice Generation,0
908,restaurant,1,40.707444,-74.006614,Golden Wuish,0
910,fast_food,1,40.708808,-74.005309,Seaport Deli,0
911,cafe,1,40.705036,-74.006825,Gregorys Coffee,0
914,restaurant,1,40.708402,-74.001477,Mark Joseph Steakhouse,0
918,restaurant,1,40.714494,-74.016133,Parm Battery Park City,0
920,restaurant,1,40.708859,-74.004029,Squires Diner,0
921,fast_food,1,40.708782,-74.005824,Casa Taqueria,0
922,restaurant,1,40.714966,-73.998408,House of Joy,0
933,art,0.8,40.716375,-74.007051,Marine and Maritime Art,0
935,restaurant,1,40.707586,-74.013462,Wogies,0
941,fast_food,1,40.708516,-74.011302,Subway,0
947,art,0.8,40.709314,-74.010587,Double Check,0
949,fast_food,1,40.705062,-74.006358,Fuku,0
966,gallery,1.5,40.723173,-74.002294,Dretore Gallery,0
976,books,0.5,40.713648,-74.011667,Moleskine store,0
984,cafe,1,40.713052,-74.009637,Aroma Espresso Bar,0
985,cafe,1,40.717592,-73.997138,Sweet Moment,0
990,restaurant,1,40.707872,-74.010244,The Capital Grille,0
998,restaurant,1,40.715813,-74.008794,Serafina,0
999,restaurant,1,40.716972,-74.007882,The Odeon,0
1000,cafe,1,40.719267,-74.006072,Cafe Clementine,0
1002,restaurant,1,40.72067,-74.004861,Tataki,0
1006,restaurant,1,40.72147,-74.001373,Antique Garage,0
1008,fast_food,1,40.711993,-73.998599,Captain Fried Chicken,0
1020,restaurant,1,40.719085,-74.00014,Le Coucou,0
1023,attraction,1.5,40.717463,-74.005668,Textile building,0
1024,restaurant,1,40.713441,-73.995819,Yung Sun Seafood Restaurant,0
1026,restaurant,1,40.71893,-74.004531,Petrarca Cucina e Vino,0
1027,cafe,1,40.719894,-74.00383,La Colombe Coffee Roasters,0
1030,restaurant,1,40.714152,-73.998641,Ajisen Ramen,0
1034,restaurant,1,40.71501,-73.999541,Mama Eatery,0
1038,bakery,1,40.715134,-73.998884,New Golden Fung Wong Bakery,0
1039,restaurant,1,40.714788,-73.997623,Famous Sichuan,0
1043,spa,0.5,40.714846,-73.997905,Foot Heaven,0
1044,spa,0.5,40.71463,-73.998171,Doyers Relaxing Spot,0
1047,cafe,1,40.714928,-73.998316,Mee Sum Cafe,0
1049,restaurant,1,40.713549,-73.997555,Noodle Q,0
1050,fast_food,1,40.714903,-73.999532,Tasty Dumpling,0
1057,restaurant,1,40.714993,-73.998652,Sichuan Hot Pot Cuisine,0
1058,restaurant,1,40.714192,-73.997877,Tasty Hand Pulled Noodles,0
1059,restaurant,1,40.714727,-73.998005,Sanu Ria,0
1061,restaurant,1,40.714923,-73.998238,Vegetarian Dim Sum House,0
1062,restaurant,1,40.714712,-73.997804,Taiwan Bear House,0
1064,bakery,1,40.717406,-73.998255,La Bella Ferrara Bakery,0
1067,restaurant,1,40.70957,-74.012718,Mughlai Indian Cuisine,0
1069,restaurant,1,40.717297,-73.99732,Supreme Restaurant,0
1075,gallery,1.5,40.717979,-74.004907,The Print Room,0
1077,bakery,1,40.720022,-74.00588,Grandaisy Bakery,0
1085,spa,0.5,40.71592,-73.998425,Hao Zu Dao,0
1087,cafe,1,40.708736,-74.006996,Voyager Espresso,0
1091,restaurant,1,40.709187,-74.008882,Friendly Gourmet Pizza,0
1092,restaurant,1,40.711028,-74.009571,Nobu Nobu,0
1096,restaurant,1,40.709847,-74.008003,Imm,0
1098,restaurant,1,40.716715,-74.008992,Brushstroke,0
1099,cafe,1,40.715278,-74.007453,Hungry Ghost,0
1101,cafe,1,40.719848,-74.004942,Starbucks,0
1106,restaurant,1,40.723831,-74.003372,Pera SoHo,0
1107,restaurant,1,40.72354,-74.003156,Aurora SoHo,0
1111,restaurant,1,40.710366,-74.016454,Picasso Pizzeria,0
1112,art,0.8,40.710468,-74.017914,The Upper Room,0
1117,fast_food,1,40.710744,-74.016317,Chipotle,0
1122,art,0.8,40.708774,-74.018369,Sitting Stance,0
1124,restaurant,1,40.713308,-74.008042,Aahar,0
1126,marketplace,0.5,40.720153,-74.001446,The Shops of Soho,0
1132,restaurant,1,40.721372,-74.012713,City Vineyard,0
1135,fast_food,1,40.716621,-73.999762,Breakroom,0
1142,restaurant,1,40.715785,-73.998263,Wonton Noodle Garden,0
1143,restaurant,1,40.723833,-74.004149,Her Name Was Carmen,0
1157,museum,1.5,40.717363,-74.002815,Mmuseumm,0
1159,fast_food,1,40.717095,-74.001954,Cafe Lafayette,0
1160,art,0.8,40.717137,-74.00192,Todd Merrill Studio,0
1163,fast_food,1,40.714084,-74.003628,Corte Cafe,0
1164,books,0.5,40.714889,-74.009276,The Mysterious Bookshop,0
1166,restaurant,1,40.713708,-73.995947,Hwa Yuan,0
1167,restaurant,1,40.717826,-73.997994,Tiny Shanghai,0
1175,cafe,1,40.710655,-74.012128,Blue Bottle Coffee,0
1176,restaurant,1,40.716586,-73.99877,Xe Lua,0
1184,cafe,1,40.718983,-74.001,Dreamers Coffee,0
1185,restaurant,1,40.704795,-74.006512,Milk Bar Financial District,0
1189,cafe,1,40.716352,-73.998169,Ten Ren,0
1190,restaurant,1,40.710925,-74.007812,Sandwich House,0
1198,restaurant,1,40.706667,-74.013514,Bravo Kosher Pizza,0
1200,gift,0.5,40.703769,-74.009879,Amy hallmark,0
1211,restaurant,1,40.707013,-74.006937,Fields Good Chicken,0
1214,restaurant,1,40.722209,-74.003624,Papatzu Mexican Restaurant,0
1217,attraction,1.5,40.714413,-73.99815,Bloody Angle,0
1220,restaurant,1,40.718074,-74.000327,East Season Restaurant House,0
1228,fast_food,1,40.719537,-74.000334,Smile To Go,0
1235,restaurant,1,40.72016,-73.999597,Soho Thai,0
1238,spa,0.5,40.719512,-74.00028,Mai Massage,0
1239,restaurant,1,40.715602,-74.007636,Nish Nush,0
1240,cafe,1,40.702776,-74.012773,Starbucks,0
1241,restaurant,1,40.715889,-73.99726,Shanghai Asian Cruisine,0
1244,cafe,1,40.7035,-74.01298,Flavors,0
1246,restaurant,1,40.704898,-74.012289,Pizza Etalia,0
1250,gift,0.5,40.706216,-74.01277,NY Gifts NY,0
1253,restaurant,1,40.705675,-74.012508,El Toro,0
1255,gift,0.5,40.706292,-74.01269,NY Gifts,0
1256,cafe,1,40.707216,-74.008596,Koyzina Kafe,0
1259,cafe,1,40.709086,-74.007018,Open Kitchen,0
1260,restaurant,1,40.707836,-74.006959,Felice,0
1261,cafe,1,40.711246,-74.006314,Variety Coffee,0
1273,cafe,1,40.709309,-74.00681,BentOn Cafe,0
1277,fast_food,1,40.703642,-74.01179,Just Salad,0
1279,restaurant,1,40.705708,-74.012384,The Grotto,0
1281,cafe,1,40.70953,-74.011974,Lazzaro,0
1284,cafe,1,40.708371,-74.00743,Starbucks,0
1285,cafe,1,40.707032,-74.008035,Pita Press,0
1288,fast_food,1,40.709842,-74.01228,Pronto Pizza,0
1291,cafe,1,40.708249,-74.010189,Manon Cafe,0
1292,bakery,1,40.707416,-74.008357,Greek Bakerie,0
1293,restaurant,1,40.709354,-74.008,Nish Nush,0
1297,fast_food,1,40.710102,-74.009923,Pret A Manger,0
1298,cafe,1,40.707332,-74.005933,Sons of Thunder,0
1299,marketplace,0.5,40.706185,-74.003455,Fulton Stall Market,0
1300,restaurant,1,40.707069,-74.002825,10 Corso Como Cafe,0
1302,restaurant,1,40.710822,-74.00763,Da Claudio,0
1303,restaurant,1,40.707734,-74.013539,Tajin,0
1304,restaurant,1,40.709609,-74.009334,La Parisienne,0
1307,restaurant,1,40.714763,-74.01563,El Vez,0
1308,cafe,1,40.711308,-74.016162,Le Pain Quotidien,0
1309,restaurant,1,40.707999,-74.017993,Miramar,0
1310,cafe,1,40.715434,-74.01633,Le Pain Quotidien,0
1311,restaurant,1,40.714182,-74.015464,Seamores,0
1312,restaurant,1,40.709656,-74.016797,Benvenuti,0
1314,spa,0.5,40.719297,-73.998736,Lina Foot Spa,0
1319,restaurant,1,40.706555,-74.013637,Blarney Stone,0
1326,restaurant,1,40.720279,-74.015925,Grand Banks,0
1327,cafe,1,40.718671,-74.000515,Kaigo Coffee Room,0
1328,restaurant,1,40.704278,-74.010273,Stone Street Tavern,0
1332,cafe,1,40.710865,-74.005923,Birch Coffee,0
1333,restaurant,1,40.717358,-73.997581,Royal Seafood,0
1334,restaurant,1,40.704191,-74.009343,Lenita,0
1335,bakery,1,40.716556,-73.999054,Lung Moon Bakery,0
1336,attraction,1.5,40.717376,-73.999292,Explore Chinatown Information Kiosk,0
1337,cafe,1,40.715377,-73.99803,Mango Mango,0
1338,fast_food,1,40.710615,-74.009014,Shake Shack,0
1344,restaurant,1,40.716238,-73.999261,Pho Thanh Hoai,0
1348,attraction,1.5,40.713354,-74.00687,Site of the Beach Pneumatic Subway,0
1350,ice_cream,0.5,40.717937,-73.998955,Taiyaki NYC,0
1352,cafe,1,40.722434,-74.00347,Sanctuary T,0
1357,restaurant,1,40.717672,-73.998385,Jose Luis,0
1359,gift,0.5,40.717367,-73.99987,Jen 127,0
1360,cafe,1,40.71729,-73.99965,Sweets Bakery,0
1361,restaurant,1,40.716818,-73.999612,Thai Son,0
1363,fast_food,1,40.716653,-73.999745,Baxter Street Pizza,0
1364,restaurant,1,40.71568,-73.998891,Bayard Sushi,0
1365,restaurant,1,40.716327,-73.999936,Appethaize,0
1367,marketplace,0.5,40.711586,-73.996106,Monroe Market,0
1368,gallery,1.5,40.711745,-73.996125,SLEEPCENTER,0
1370,gallery,1.5,40.711747,-73.995664,Essex Flowers Gallery,0
1372,restaurant,1,40.711788,-73.996737,LianJiangDongDai INC,0
1373,restaurant,1,40.71186,-73.996752,Shun Wei,0
1381,cafe,1,40.715194,-73.997511,ViVi Bubble Tea,0
1383,cafe,1,40.715626,-73.998226,Chicha San Chen NY,0
1384,cafe,1,40.713657,-73.997443,ViVi Bubble Tea,0
1385,restaurant,1,40.717196,-73.999378,Sun Sai Gai Restaurant,0
1389,gallery,1.5,40.719023,-74.003639,Alexander and Bonin,0
1397,bakery,1,40.716789,-73.998171,Taipan Bakery,0
1402,ice_cream,0.5,40.716811,-73.998228,Penguin Ice Cream,0
1405,bakery,0.5,40.709745,-74.00702,Baked by Melissa,0
1407,cafe,1,40.710504,-74.009144,Gong Cha,0
1439,fast_food,1,40.713224,-74.009528,Pret A Manger,0
1440,gift,0.5,40.717992,-73.997888,Little Italy Famous Gifts,0
1441,gift,0.5,40.7213,-74.004221,NY Gift Shop,0
1443,gallery,1.5,40.716784,-73.997152,186f Kepler,0
1444,art,0.8,40.71421,-73.997113,Confucius,0
1446,restaurant,1,40.70412,-74.01207,Toro Loco,0
1447,restaurant,1,40.716486,-73.998091,Keki Modern Cakes,0
1455,fast_food,1,40.702586,-74.011673,NAYA Express,0
1457,restaurant,1,40.705922,-74.012977,Bento Nouveau,0
1459,restaurant,1,40.713419,-73.996141,Downtown Yummy Restaurant,0
1463,spa,0.5,40.718862,-74.000708,Renew Regal Spa,0
1497,restaurant,1,40.709101,-74.009147,Kati Roll Company,0
1499,restaurant,1,40.714538,-73.99926,Fried Dumpling,0
1501,food_court,1,40.717174,-73.997407,Mott Street Eatery,0
1509,fast_food,1,40.721388,-74.004985,Poke Bowl,0
1510,cafe,1,40.715754,-74.003128,Starbucks,0
1514,restaurant,1,40.716,-73.998376,Ming Wong,0
1518,restaurant,1,40.705865,-74.00878,CAVA,0
1530,cafe,1,40.717885,-74.000247,Spring Cafe,0
1531,cafe,1,40.706489,-74.004127,Beatnic,0
1532,cafe,1,40.707188,-74.003076,Big Gay Ice Cream,0
1536,restaurant,1,40.718042,-74.001964,Au Cheval Diner,0
1537,cafe,1,40.718013,-74.001988,Sawada Coffee,0
1545,attraction,1.5,40.721178,-74.002448,Queen of Green Street,0
1550,art,0.8,40.70438,-74.016381,Giovanni Da Verrazzano,0
1554,ice_cream,0.5,40.707629,-74.00224,Van Leeuwen Ice Cream,0
1570,cafe,1,40.717738,-74.000013,Kung Fu Tea,0
1590,spa,0.5,40.7175,-74.000642,Maiyomi Traditions Technique Restore,0
1594,fast_food,1,40.717477,-74.000592,Queen Bakery II,0
1596,restaurant,1,40.715263,-73.998823,Cha Chang Tang,0
1601,restaurant,1,40.720531,-74.000376,Le Botaniste,0
1648,restaurant,1,40.706227,-74.00751,Crown Shy,0
1749,fast_food,1,40.70768,-74.005917,Subway,0
1750,restaurant,1,40.715171,-74.010472,Taq,0
1751,restaurant,1,40.718417,-74.010272,Vcafe,0
1753,restaurant,1,40.718664,-74.010202,Zona Tribeca,0
1775,art,0.8,40.715343,-74.004956,Manhattan Sentinels,0
1776,restaurant,1,40.704613,-74.011688,Tacombi,0
1933,restaurant,1,40.708235,-74.001698,Thai Farm Kitchen Seaport,0
1940,cafe,1,40.720208,-74.002148,La Mercerie,0
1943,gallery,1.5,40.717454,-74.004901,81 Leonard Gallery,0
1951,attraction,1.5,40.718125,-73.997602,Italian flag painted Apartments,0
1952,restaurant,1,40.71893,-73.997649,Bellacio,0
1953,restaurant,1,40.718175,-73.997676,Puglia,0
1954,gift,0.5,40.717912,-73.99794,Anthony Shops,0
1955,gift,0.5,40.717868,-73.997968,Summertime Gift Shop,0
1956,restaurant,1,40.717774,-73.998026,Buona Notte,0
1962,gift,0.5,40.717282,-73.998343,Little Italy Gift Shop,0
1966,cafe,1,40.717132,-73.998175,Tiger Sugar,0
1974,restaurant,1,40.716619,-73.996679,Da Long Yi Hot Pot,0
2007,restaurant,1,40.716561,-74.007663,Savida,0
2009,restaurant,1,40.715669,-74.007574,Dilli Bistro,0
